Round,Date,Day,Time,GameTimePK,Statement
4,19/05/2019,Sun,11:30,r4_sun_20190519_1130,"r4_sun_20190519_1130 = GameTime(round= 4, when=datetime(year=2019, month=5, day=19, hour=11, minute=30))"
4,19/05/2019,Sun,13:00,r4_sun_20190519_1300,"r4_sun_20190519_1300 = GameTime(round= 4, when=datetime(year=2019, month=5, day=19, hour=13, minute=0))"
4,19/05/2019,Sun,15:00,r4_sun_20190519_1500,"r4_sun_20190519_1500 = GameTime(round= 4, when=datetime(year=2019, month=5, day=19, hour=15, minute=0))"
5,24/05/2019,Fri,18:00,r5_fri_20190524_1800,"r5_fri_20190524_1800 = GameTime(round= 5, when=datetime(year=2019, month=5, day=24, hour=18, minute=0))"
5,24/05/2019,Fri,19:30,r5_fri_20190524_1930,"r5_fri_20190524_1930 = GameTime(round= 5, when=datetime(year=2019, month=5, day=24, hour=19, minute=30))"
5,25/05/2019,Sat,08:30,r5_sat_20190525_0830,"r5_sat_20190525_0830 = GameTime(round= 5, when=datetime(year=2019, month=5, day=25, hour=8, minute=30))"
5,25/05/2019,Sat,10:00,r5_sat_20190525_1000,"r5_sat_20190525_1000 = GameTime(round= 5, when=datetime(year=2019, month=5, day=25, hour=10, minute=0))"
5,25/05/2019,Sat,11:30,r5_sat_20190525_1130,"r5_sat_20190525_1130 = GameTime(round= 5, when=datetime(year=2019, month=5, day=25, hour=11, minute=30))"
5,25/05/2019,Sat,13:00,r5_sat_20190525_1300,"r5_sat_20190525_1300 = GameTime(round= 5, when=datetime(year=2019, month=5, day=25, hour=13, minute=0))"
5,25/05/2019,Sat,15:00,r5_sat_20190525_1500,"r5_sat_20190525_1500 = GameTime(round= 5, when=datetime(year=2019, month=5, day=25, hour=15, minute=0))"
5,25/05/2019,Sat,17:00,r5_sat_20190525_1700,"r5_sat_20190525_1700 = GameTime(round= 5, when=datetime(year=2019, month=5, day=25, hour=17, minute=0))"
